City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,vorgashor,67.5833,63.95,-24.0,100,48,2.07,RU,1712604872
131,comodoro rivadavia,-45.8667,-67.5,7.92,71,75,7.2,AR,1712604759
132,tlacotepec,20.0667,-97.8667,30.45,39,2,4.74,MX,1712604965
133,magadan,59.5667,150.8,-3.04,96,100,4.22,RU,1712604965
134,neryungri,56.6709,124.6491,-22.12,100,97,1.39,RU,1712604906
135,al kharijah,25.4514,30.5464,21.52,19,0,1.61,EG,1712604965
136,ghat,24.9647,10.1728,28.47,9,58,3.42,LY,1712604874
137,bilibino,68.0546,166.4372,-19.96,97,82,1.14,RU,1712604965
138,nha trang,12.25,109.1833,27.0,96,71,2.94,VN,1712604889
139,weno,7.4515,151.8468,27.97,94,100,1.54,FM,1712604905
140,klyuchi,52.2667,79.1667,11.03,82,100,5.85,RU,1712604877
141,aldinga beach,-35.2793,138.4604,12.59,58,63,4.77,AU,1712604965
142,st. john's,47.5649,-52.7093,-0.02,90,100,11.18,CA,1712604966
143,ostersund,63.1792,14.6357,8.25,53,82,2.57,SE,1712604966
144,senanga,-16.1167,23.2667,22.11,73,72,1.11,ZM,1712604966
145,kargasok,59.0556,80.8572,-0.58,62,100,5.81,RU,1712604966
146,hammerfest,70.6634,23.6821,-1.75,86,75,3.6,NO,1712604878
147,zhalantun,48.0,122.7167,-4.43,48,0,2.46,CN,1712604966
148,rurrenabaque,-14.4413,-67.5278,30.83,79,75,1.54,BO,1712604966
149,port mathurin,-19.6833,63.4167,26.78,81,21,4.63,MU,1712604859
150,south hedland,-20.4089,118.5983,27.96,26,75,6.17,AU,1712604966
151,fale old settlement,-9.3852,-171.2468,29.89,76,100,5.9,TK,1712604748
152,atasu,48.6814,71.6433,4.96,83,51,4.27,KZ,1712604967
153,vernon,50.2581,-119.2691,10.34,59,100,1.54,CA,1712604928
154,quelimane,-17.8786,36.8883,26.97,89,20,1.26,MZ,1712604967
155,knyaze-volkonskoye,48.4642,135.4567,-1.81,64,98,6.71,RU,1712604967
156,hawaiian paradise park,19.5933,-154.9731,21.05,96,100,4.12,US,1712604725
157,hamilton,39.1834,-84.5333,23.93,49,0,4.63,US,1712604211
158,verkhnevilyuysk,63.4453,120.3167,-19.85,100,96,1.31,RU,1712604967
159,alofi,-19.0595,-169.9187,24.94,94,75,7.2,NU,1712604967
160,susuman,62.7833,148.1667,-13.34,97,100,1.34,RU,1712604738
161,mezhdurechenskiy,59.6,65.9333,-3.2,100,93,1.23,RU,1712604968
162,aasiaat,68.7098,-52.8699,-6.24,86,95,1.86,GL,1712604737
163,verdal,63.7933,11.4817,7.02,82,46,2.03,NO,1712604885
164,gaiman,-43.2897,-65.4929,20.26,23,96,12.03,AR,1712604849
165,pisco,-13.7,-76.2167,23.9,88,50,4.63,PE,1712604851
166,puerto baquerizo moreno,-0.9,-89.6,29.55,74,20,6.69,EC,1712604675
167,abu al matamir,30.9102,30.1744,17.27,81,0,4.27,EG,1712604968
168,bardai,11.65,7.2333,30.61,10,100,3.88,NG,1712604968
169,palikir - national government center,6.9248,158.1611,25.41,94,100,2.06,FM,1712604969
170,timbuktu,16.7735,-3.0074,33.83,16,53,5.54,ML,1712604681
171,afaahiti,-17.75,-149.2833,29.93,83,83,5.9,PF,1712604969
172,rabo de peixe,37.8,-25.5833,17.77,99,75,4.12,PT,1712604969
173,noumea,-22.2763,166.4572,22.99,82,0,3.51,NC,1712604630
174,atafu village,-8.5421,-172.5159,29.38,76,97,5.09,TK,1712604698
175,broome,42.2506,-75.833,16.67,35,100,0.89,US,1712604969
176,trujillo,-8.116,-79.03,21.98,83,75,4.63,PE,1712604688
177,seosan,36.7817,126.4522,8.45,79,0,2.88,KR,1712604970
178,olonkinbyen,70.9221,-8.7187,-3.4,66,90,8.66,SJ,1712604970
179,novoanninskiy,50.5287,42.6747,15.27,59,25,3.17,RU,1712604970
180,nadym,65.5333,72.5167,-13.35,88,20,4.15,RU,1712604970
181,tazovsky,67.4667,78.7,-17.48,94,33,4.57,RU,1712604702
182,roma,43.2128,-75.4557,16.87,30,0,0.89,US,1712604910
183,dalmatovo,56.26,62.9362,0.84,87,94,3.27,RU,1712604970
184,la'ie,21.6477,-157.9253,25.98,64,1,3.13,US,1712604971
185,acapulco de juarez,16.8634,-99.8901,26.9,78,0,3.09,MX,1712604729
186,carauari,-4.8828,-66.8958,32.07,59,100,1.39,BR,1712604971
187,forster,-32.1667,152.5167,14.6,100,100,2.22,AU,1712604875
188,ntungamo,-0.8833,29.65,18.66,84,69,1.51,UG,1712604971
189,north shore,-36.8,174.75,17.51,75,32,2.24,NZ,1712604971
190,radviliskis,55.8167,23.5333,11.03,87,0,2.57,LT,1712604971
191,lluta,-16.0147,-72.0142,12.57,73,98,3.76,PE,1712604971
192,leh,34.1667,77.5833,-14.84,47,1,2.99,IN,1712604878
193,tralee,52.2704,-9.7026,6.8,80,100,9.76,IE,1712604971
194,saint-francois,46.4154,3.9054,19.69,42,0,2.57,FR,1712604972
195,uliastay,47.7417,96.8444,0.58,89,100,2.14,MN,1712604922
196,acarau,-2.8856,-40.12,27.82,82,100,3.61,BR,1712604839
197,anna regina,7.2644,-58.5077,29.06,64,8,3.8,GY,1712604972
198,askino,56.0901,56.5783,3.44,98,100,5.11,RU,1712604972
199,petropavlovsk-kamchatsky,53.0452,158.6483,2.47,82,75,2.0,RU,1712604806
200,amga,60.8953,131.9608,-17.73,100,100,1.26,RU,1712604873
201,leava,-14.3,-178.1667,29.21,79,81,4.81,WF,1712604973
202,port alfred,-33.5906,26.891,18.99,96,100,1.79,ZA,1712604874
203,eufaula,31.8913,-85.1455,24.52,49,0,3.6,US,1712604973
204,port moresby,-9.4431,147.1797,25.28,87,100,1.49,PG,1712604973
205,jemna,33.5778,9.0147,24.2,21,80,5.17,TN,1712604973
